COURTSHIP,K.AO.R.T.SH.IH.P
EXCELLENCY,EH.K.S.AH.L.N.S.IY
ANTIMATTER,AE.N.T.AY.M.AE.T.ER
ARCHETYPAL,AA.R.K.IH.T.Y.P.AH.L
ARRHYTHMIA,ER.R.IH.DH.M.IY.AH
CATERPILLARS,K.AE.T.ER.P.IH.L.ER.Z
CHANDELIERS,SH.AE.N.D.AH.L.IH.R.Z
CIRCUMFERENCE,S.ER.K.AH.M.F.ER.AH.N.S
COMMISSARS,K.AA.M.AH.S.AA.R.Z
CONFERENCING,K.AA.N.F.ER.AH.N.S.IH.NG
CONSCIENCES,K.AA.N.SH.IH.N.S.IH.Z
CRETACEOUS,K.R.IH.T.EY.SH.AH.S
DEVILISH,D.EH.V.AH.L.IH.SH
DISEMBODIED,D.IH.S.IH.M.B.AA.D.IY.D
DISINTERESTED,D.IH.S.IH.N.T.ER.AH.S.T.IH.D
EXCELLENCIES,EH.K.S.EH.L.EH.N.S.IY.Z
UPHOLSTERED,AH.P.HH.OW.L.S.T.ER.D
UPHOLSTERY,AH.P.HH.OW.L.S.T.ER.IY
MINUTE,M.IH.N.AH.T
TSAR,Z.AA.R
ACREAGE,EY.K.ER.IH.JH
BUNGLING,B.AH.NG.G.L.IH.NG
COMMEMORATIVE,K.AH.M.EH.M.ER.EY.T.IH.V
DEPARTMENTAL,D.IH.P.AA.R.T.M.EH.N.T.AH.L
DESPERATE,D.EH.S.P.ER.AH.T
DWINDLING,D.W.IH.N.D.L.IH.NG
GOODBYE,G.UH.D.B.AY
INTEREST,IH.N.T.ER.IH.S.T
INTERMEDIARY,IH.N.T.ER.M.IY.D.IY.EH.R.IY
OPERATIVE,AA.P.ER.AH.T.IH.V
PLATINUM,P.L.AE.T.AH.N.AH.M
THIRTY,TH.ER.T.IY
SPACESUIT,S.P.EY.S.S.UW.T
INSIGNIFICANCE,IH.N.S.IH.G.N.IH.F.IH.K.AH.N.S
INTERESTINGLY,IH.N.T.ER.EH.S.T.IH.NG.L.IY
SCYTHE,S.AY.TH
LUSCIOUS,L.AH.SH.AH.S
CABINETS,K.AE.B.AH.N.AH.T.S
CROISSANTS,K.R.AH.S.AA.N.T.S
FEROCIOUSLY,F.ER.OW.SH.AH.S.L.IY
HOUSEWARMING,HH.AW.S.W.AO.R.M.IH.NG
INSIGNIFICANT,IH.N.S.IH.G.N.IH.F.IH.K.AH.N.T
INTERESTED,IH.N.T.ER.AH.S.T.AH.D
INTERESTING,IH.N.T.ER.AH.S.T.IH.NG
MANSIONS,M.AE.N.SH.AH.N.Z
OPERATIVES,AA.P.ER.AH.T.IH.V.Z
TENSIONS,T.EH.N.SH.AH.N.Z
UNKNOWNS,AH.N.N.OW.N.Z
YOURS,Y.AO.R.Z
TORTUROUS,T.AO.R.CH.ER.AH.S
