AA,A.AU.ER.EAR.O.E.EA.AA.OW.OH.UA.HO.AW.OUGH.AUGH.OU.OI
AE,A.AI.AU.HA
AH,U.O.OO.OU.A.E.I.AI.IU.AU.Y.AE.IA.EA.EI.IO.OE.EU.OI.EO.HI.UI.HE.EAU.AH.EE.ER.IE.EOU.HO
AO,O.A.HO.OA.AU.AW.OU.OO.AWE.AUGH.OUGH.EO.HAU.AO.UO
AW,OW.OU.OUGH.HOU.O.AU
AY,I.Y.IGH.IE.UY.YE.AI.EIGH.AY.EY.EI.EYE.AYE.IA.UI.A
B,B.BB.PB.BE
CH,CH.TCH.TI.TE.T.C.CZ
D,D.DD.ED.LD.DE
DH,TH
EH,E.EA.U.IE.AI.A.EO.EI.AE.AY.AA.HEI.UE.UA
ER,ER.AR.OUR.OR.I.E.U.UR.RE.EUR.URR.R.AER.IR.ARR.EAR.AUR.ORR.ERR.URE.RR.IRR.OLO.OAR.AWR.HER.ERE.A.YR
EY,A.EIGH.AIGH.AY.ET.EI.AU.AE.EY.AI.EA.E.ER.EE
F,F.FF.PH.GH.LF.FE.FT.PPH
G,G.GG.GH.GUE.GU.TG
HH,H.WH.J
IH,I.E.O.U.UI.Y.IE.A.EE.EA.EI.OE.IA.EO.AI.AE.EY.HA
IY,EE.E.EA.Y.EY.OE.IE.I.EI.EO.AY.HE.AE.HOE.HY.IS
JH,J.GE.G.DGE.DI.GG.DG.DJ.D.GI
K,K.C.CH.LK.Q.CK.X.CC.KE.QU.CO.G.KH
L,L.LL.ALL.EL.OL.SL.ULL.LE
M,M.MM.MB.MN.LM.ME.GM.NM
N,N.NN.KN.GN.PN.EN.NE.ND.ON.AN.MN
NG,NG.N.NGU.ND
OW,OA.O.OE.OW.OUGH.EAU.OO.EW.OU.AOH.AU.OT.HO.OWE
OY,OI.OY.UOY.HOI
P,P.PP.PE.BP
R,R.RR.WR.RH.RE.RPS.AR.ER.OR
S,S.SS.C.SC.PS.SW.CE.SE.SCH.ST.Z.TC
SH,SH.CE.S.CI.SI.CH.TI.T.XI.SS.SC.SCH.C.SCI.SE
T,T.TT.TH.ED.BT.TW.TE.CHT.PT.D.CT
TH,TH.TTH
UH,OO.U.OU.O.EU.HU
UW,OO.EW.UE.U.OE.OUGH.UI.O.OEU.OU.EU.UO.IEU.OUP.OW
V,V.F.PH.VE.LV.VV
W,W.WH.U.O
Y,Y.I.J.U.EA
Z,Z.ZZ.S.SS.X.ZE.SE.SI.CZ.STH.TS
ZH,S.SI.Z.G.GE.SH.TI
Y.UH,U.EU
K.W,QU.CQU
